"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","2,511,792"," - "
"1988","1,735,336"," - "
"1989","1,437,293","36,862"
"1990","1,072,539","232,294"
"1991","841,102","357,563"
"1992","710,236","460,124"
"1993","593,375","480,956"
"1994","780,535","653,670"
"1995","955,962","882,479"
"1996","936,610","920,217"
"1997","715,420","678,320"
"1998","1,381,259","717,103"
"1999","627,000","632,288"
"2000","648,530","745,716"
"2001","620,538","730,783"
"2002","584,868","736,667"
"2003","754,421","970,896"
"2004","747,924","1,070,385"
"2005","848,913","1,029,695"
"2006","692,929","883,210"
"2007","612,604","791,415"
"2008","894,364","1,074,458"
"2009","550,657","723,975"
"2010","703,531","948,414"
"2011","560,494","836,465"
"2012","525,238","783,080"
"2013","499,952","871,921"
"2014","432,272","711,968"
"2015","426,409","738,894"
"2016","341,182","688,237"
"2017","335,907","725,971"
"2018","292,820","853,733"
"2019","313,831","926,145"
"2020","289,120","935,854"
"2021","327,140","1,087,669"
"2022","290,382","974,775"
"2023","259,565","867,734"
"2024","246,615","142,505"
