"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","1,076,164"," - "
"1988","719,854"," - "
"1989","724,376","940"
"1990","494,071","111,111"
"1991","348,202","170,072"
"1992","211,904","188,854"
"1993","169,682","192,443"
"1994","190,171","277,776"
"1995","228,653","396,919"
"1996","270,253","466,706"
"1997","166,458","322,140"
"1998","431,968","283,944"
"1999","88,102","255,812"
"2000","140,992","338,057"
"2001","99,840","290,252"
"2002","83,634","299,988"
"2003","110,129","402,657"
"2004","136,693","539,223"
"2005","125,890","403,076"
"2006","112,359","392,988"
"2007","104,798","349,779"
"2008","176,214","500,025"
"2009","94,041","324,276"
"2010","153,422","452,343"
"2011","106,894","384,863"
"2012","50,899","295,199"
"2013","79,604","376,213"
"2014","41,589","269,825"
"2015","52,411","310,073"
"2016","41,969","300,493"
"2017","29,376","291,855"
"2018","32,804","349,874"
"2019","46,455","417,508"
"2020","39,618","357,244"
"2021","53,667","493,761"
"2022","50,368","409,063"
"2023","36,104","360,572"
"2024","800","1,291"
