"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","409,297"," - "
"1988","184,804"," - "
"1989","123,584","4,650"
"1990","94,698","27,425"
"1991","79,110","42,947"
"1992","85,010","68,123"
"1993","80,936","72,488"
"1994","68,498","68,172"
"1995","68,558","79,075"
"1996","76,263","83,344"
"1997","51,838","67,028"
"1998","61,064","76,030"
"1999","55,389","68,100"
"2000","45,885","66,827"
"2001","40,533","74,884"
"2002","44,886","71,188"
"2003","50,819","92,051"
"2004","48,248","64,282"
"2005","45,392","82,141"
"2006","37,339","64,768"
"2007","29,792","66,949"
"2008","34,455","95,611"
"2009","19,176","64,259"
"2010","25,640","71,447"
"2011","16,313","58,897"
"2012","18,950","84,797"
"2013","18,684","67,751"
"2014","20,364","59,367"
"2015","17,597","47,594"
"2016","8,278","33,225"
"2017","9,639","54,904"
"2018","8,283","77,351"
"2019","8,011","75,035"
"2020","7,953","85,078"
"2021","9,339","75,979"
"2022","11,906","101,427"
"2023","7,919","65,102"
"2024","7,633","8,780"
