"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","22,305"," - "
"1988","22,742"," - "
"1989","11,962","0.1"
"1990","13,541","389"
"1991","8,662","2,615"
"1992","8,119","4,457"
"1993","6,212","4,970"
"1994","6,466","6,213"
"1995","6,105","5,905"
"1996","3,078","3,392"
"1997","4,263","5,671"
"1998","6,265","9,093"
"1999","5,798","10,171"
"2000","7,416","9,982"
"2001","5,070","8,353"
"2002","9,044","11,850"
"2003","4,559","7,363"
"2004","4,123","7,075"
"2005","5,663","10,224"
"2006","5,476","9,220"
"2007","4,382","10,938"
"2008","4,231","9,258"
"2009","4,554","10,096"
"2010","4,071","9,592"
"2011","5,757","11,715"
"2012","4,801","9,355"
"2013","5,358","10,981"
"2014","4,839","12,061"
"2015","3,826","8,190"
"2016","5,266","13,602"
"2017","3,824","11,407"
"2018","7,385","13,089"
"2019","5,293","10,170"
"2020","3,500","9,156"
"2021","3,100","8,605"
"2022","2,199","4,810"
"2023","4,398","9,669"
"2024","445","564"
