"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","177,548"," - "
"1988","152,852"," - "
"1989","84,536","4,993"
"1990","67,146","31,943"
"1991","47,479","44,927"
"1992","32,077","35,006"
"1993","27,446","41,680"
"1994","27,244","46,174"
"1995","38,987","93,966"
"1996","38,084","83,719"
"1997","37,217","52,615"
"1998","31,145","57,589"
"1999","32,442","60,012"
"2000","20,588","54,925"
"2001","17,845","46,755"
"2002","15,808","50,500"
"2003","17,174","56,924"
"2004","25,557","83,080"
"2005","27,747","79,876"
"2006","29,222","72,237"
"2007","24,370","71,240"
"2008","32,944","80,773"
"2009","18,872","53,269"
"2010","32,216","75,595"
"2011","23,823","52,199"
"2012","20,887","57,016"
"2013","17,043","55,671"
"2014","17,513","61,970"
"2015","13,364","49,731"
"2016","10,325","46,013"
"2017","9,393","51,520"
"2018","8,566","74,196"
"2019","10,876","55,377"
"2020","16,156","82,560"
"2021","12,203","73,576"
"2022","12,958","87,002"
"2023","9,260","61,314"
"2024","7,042","11,769"
