"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","23,321"," - "
"1988","32,374"," - "
"1989","29,048","6,918"
"1990","11,025","4,451"
"1991","11,463","4,081"
"1992","9,502","5,158"
"1993","10,802","5,090"
"1994","17,059","19,170"
"1995","5,485","8,794"
"1996","10,852","15,311"
"1997","6,890","8,155"
"1998","13,426","11,975"
"1999","9,011","7,190"
"2000","9,653","10,757"
"2001","8,494","8,312"
"2002","9,396","17,495"
"2003","13,703","14,499"
"2004","11,162","15,756"
"2005","11,947","13,842"
"2006","12,137","11,407"
"2007","6,538","10,395"
"2008","9,756","8,625"
"2009","6,743","9,719"
"2010","7,116","8,761"
"2011","10,037","11,235"
"2012","9,531","8,523"
"2013","7,329","9,200"
"2014","4,485","6,329"
"2015","5,162","9,650"
"2016","3,034","6,771"
"2017","2,315","5,891"
"2018","4,181","10,664"
"2019","2,656","5,836"
"2020","4,636","11,970"
"2021","3,287","5,374"
"2022","2,956","9,790"
"2023","2,909","7,220"
"2024","5,432","4,298"
