"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","2511792","0"
"1988","1735336","0"
"1989","1437293","36862"
"1990","1072539","232294"
"1991","841102","357563"
"1992","710236","460124"
"1993","593375","480956"
"1994","780535","653670"
"1995","955962","882479"
"1996","936610","920217"
"1997","715420","678320"
"1998","1381259","717103"
"1999","627000","632288"
"2000","648530","745716"
"2001","620538","730783"
"2002","584868","736667"
"2003","754421","970896"
"2004","747924","1070385"
"2005","848913","1029695"
"2006","692929","883210"
"2007","612604","791415"
"2008","894364","1074458"
"2009","550657","723975"
"2010","703531","948414"
"2011","560494","836465"
"2012","525238","783080"
"2013","499952","871921"
"2014","432272","711968"
"2015","426409","738894"
"2016","341182","688237"
"2017","335907","725971"
"2018","292820","853733"
"2019","313831","926145"
"2020","289120","935854"
"2021","327140","1087669"
"2022","290382","974775"
"2023","259565","867734"
"2024","246615","142505"
