"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
1985,0,0
1986,0,0
1987,1076164,0
1988,719854,0
1989,724376,940
1990,494071,111111
1991,348202,170072
1992,211904,188854
1993,169682,192443
1994,190171,277776
1995,228653,396919
1996,270253,466706
1997,166458,322140
1998,431968,283944
1999,88102,255812
2000,140992,338057
2001,99840,290252
2002,83634,299988
2003,110129,402657
2004,136693,539223
2005,125890,403076
2006,112359,392988
2007,104798,349779
2008,176214,500025
2009,94041,324276
2010,153422,452343
2011,106894,384863
2012,50899,295199
2013,79604,376213
2014,41589,269825
2015,52411,310073
2016,41969,300493
2017,29376,291855
2018,32804,349874
2019,46455,417508
2020,39618,357244
2021,53667,493761
2022,50368,409063
2023,36104,360572
2024,800,1291
