"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","409297","0"
"1988","184804","0"
"1989","123584","4650"
"1990","94698","27425"
"1991","79110","42947"
"1992","85010","68123"
"1993","80936","72488"
"1994","68498","68172"
"1995","68558","79075"
"1996","76263","83344"
"1997","51838","67028"
"1998","61064","76030"
"1999","55389","68100"
"2000","45885","66827"
"2001","40533","74884"
"2002","44886","71188"
"2003","50819","92051"
"2004","48248","64282"
"2005","45392","82141"
"2006","37339","64768"
"2007","29792","66949"
"2008","34455","95611"
"2009","19176","64259"
"2010","25640","71447"
"2011","16313","58897"
"2012","18950","84797"
"2013","18684","67751"
"2014","20364","59367"
"2015","17597","47594"
"2016","8278","33225"
"2017","9639","54904"
"2018","8283","77351"
"2019","8011","75035"
"2020","7953","85078"
"2021","9339","75979"
"2022","11906","101427"
"2023","7919","65102"
"2024","7633","8780"
