"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","341638","0"
"1988","123595","0"
"1989","86384","17"
"1990","78448","20420"
"1991","50317","21666"
"1992","50003","35604"
"1993","29514","29246"
"1994","35954","40486"
"1995","24985","35762"
"1996","22450","35880"
"1997","13801","23466"
"1998","53587","54206"
"1999","17680","41290"
"2000","21357","49343"
"2001","19029","41080"
"2002","22924","48913"
"2003","24050","75893"
"2004","15420","65382"
"2005","20203","80298"
"2006","16155","82224"
"2007","14425","58505"
"2008","11287","48828"
"2009","8894","26679"
"2010","7746","34331"
"2011","11016","54842"
"2012","7304","56808"
"2013","5694","59191"
"2014","4942","44796"
"2015","7235","39911"
"2016","4793","40430"
"2017","8615","46607"
"2018","7906","58916"
"2019","7904","67924"
"2020","13689","68670"
"2021","6656","64177"
"2022","3992","63193"
"2023","3895","62549"
"2024","1923","667"
