"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","22305","0"
"1988","22742","0"
"1989","11962","0"
"1990","13541","389"
"1991","8662","2615"
"1992","8119","4457"
"1993","6212","4970"
"1994","6466","6213"
"1995","6105","5905"
"1996","3078","3392"
"1997","4263","5671"
"1998","6265","9093"
"1999","5798","10171"
"2000","7416","9982"
"2001","5070","8353"
"2002","9044","11850"
"2003","4559","7363"
"2004","4123","7075"
"2005","5663","10224"
"2006","5476","9220"
"2007","4382","10938"
"2008","4231","9258"
"2009","4554","10096"
"2010","4071","9592"
"2011","5757","11715"
"2012","4801","9355"
"2013","5358","10981"
"2014","4839","12061"
"2015","3826","8190"
"2016","5266","13602"
"2017","3824","11407"
"2018","7385","13089"
"2019","5293","10170"
"2020","3500","9156"
"2021","3100","8605"
"2022","2199","4810"
"2023","4398","9669"
"2024","445","564"
