"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","177548","0"
"1988","152852","0"
"1989","84536","4993"
"1990","67146","31943"
"1991","47479","44927"
"1992","32077","35006"
"1993","27446","41680"
"1994","27244","46174"
"1995","38987","93966"
"1996","38084","83719"
"1997","37217","52615"
"1998","31145","57589"
"1999","32442","60012"
"2000","20588","54925"
"2001","17845","46755"
"2002","15808","50500"
"2003","17174","56924"
"2004","25557","83080"
"2005","27747","79876"
"2006","29222","72237"
"2007","24370","71240"
"2008","32944","80773"
"2009","18872","53269"
"2010","32216","75595"
"2011","23823","52199"
"2012","20887","57016"
"2013","17043","55671"
"2014","17513","61970"
"2015","13364","49731"
"2016","10325","46013"
"2017","9393","51520"
"2018","8566","74196"
"2019","10876","55377"
"2020","16156","82560"
"2021","12203","73576"
"2022","12958","87002"
"2023","9260","61314"
"2024","7042","11769"
