"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985","0","0"
"1986","0","0"
"1987","23321","0"
"1988","32374","0"
"1989","29048","6918"
"1990","11025","4451"
"1991","11463","4081"
"1992","9502","5158"
"1993","10802","5090"
"1994","17059","19170"
"1995","5485","8794"
"1996","10852","15311"
"1997","6890","8155"
"1998","13426","11975"
"1999","9011","7190"
"2000","9653","10757"
"2001","8494","8312"
"2002","9396","17495"
"2003","13703","14499"
"2004","11162","15756"
"2005","11947","13842"
"2006","12137","11407"
"2007","6538","10395"
"2008","9756","8625"
"2009","6743","9719"
"2010","7116","8761"
"2011","10037","11235"
"2012","9531","8523"
"2013","7329","9200"
"2014","4485","6329"
"2015","5162","9650"
"2016","3034","6771"
"2017","2315","5891"
"2018","4181","10664"
"2019","2656","5836"
"2020","4636","11970"
"2021","3287","5374"
"2022","2956","9790"
"2023","2909","7220"
"2024","5432","4298"
