Natural herbaceous and shrub vegetation,Forests,Agricultural and livestock area,Non-vegetated area,Water bodies,Not observed,year
55.8,20.4,13.5,8.6,1.5,0.2,1985
55.5,20.3,14.1,8.5,1.5,0.2,1986
55.1,20.3,14.4,8.5,1.6,0.2,1987
55.1,20.1,14.5,8.5,1.5,0.2,1988
54.9,20.1,14.7,8.5,1.5,0.2,1989
54.8,20.1,14.7,8.5,1.5,0.2,1990
54.7,20.2,14.8,8.5,1.5,0.2,1991
54.8,20.2,14.8,8.5,1.6,0.2,1992
54.9,20.1,14.7,8.5,1.6,0.2,1993
54.8,20,14.9,8.6,1.5,0.2,1994
54.6,19.8,15.3,8.5,1.5,0.2,1995
54.3,19.7,15.7,8.6,1.5,0.2,1996
54.2,19.7,15.8,8.6,1.5,0.2,1997
54.4,19.5,15.9,8.4,1.6,0.2,1998
54.4,19.5,16,8.5,1.5,0.2,1999
54.5,19.3,16,8.5,1.5,0.2,2000
54.6,19.2,16,8.5,1.5,0.2,2001
54.5,19.0,16.3,8.4,1.5,0.2,2002
54.4,18.7,16.7,8.5,1.5,0.2,2003
54.1,18.7,17,8.5,1.5,0.2,2004
54.0,18.6,17.2,8.6,1.5,0.2,2005
54.1,18.4,17.3,8.5,1.5,0.2,2006
54.1,18.2,17.6,8.5,1.4,0.2,2007
54.0,18.1,17.8,8.6,1.4,0.2,2008
53.9,18.0,17.9,8.6,1.4,0.2,2009
53.8,17.8,18.1,8.6,1.4,0.2,2010
53.9,17.7,18.2,8.6,1.4,0.2,2011
53.8,17.6,18.3,8.6,1.5,0.2,2012
53.9,17.7,18.2,8.6,1.4,0.2,2013
54.0,17.6,18.1,8.6,1.5,0.2,2014
54.1,17.7,18.0,8.6,1.5,0.2,2015
54.1,17.6,17.9,8.6,1.5,0.2,2016
54.2,17.4,18.0,8.6,1.5,0.2,2017
54.1,17.5,18.1,8.7,1.4,0.2,2018
54.3,17.3,18.2,8.6,1.4,0.2,2019
54.2,17.2,18.4,8.6,1.3,0.2,2020
54.2,17.2,18.5,8.6,1.3,0.2,2021
54.2,17.2,18.6,8.6,1.3,0.2,2022
54.9,16.6,18.3,8.6,1.3,0.2,2023
54.9,16.6,18.3,8.6,1.3,0.2,2024
